Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"ALLEN, Mr Henry",1882,1912,30,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,145,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-allen.html
"ALLEN, Mr Robert Spencer",1876,1912,35,Male,Victualling Crew,,,,Southampton,Bedroom Steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-spencer-allan.html
"ALLEN, Mr William Henry",1873,1912,39,Male,3rd Class Passenger,373450,£8             1s,,Southampton,Tool Maker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-henry-allen.html
"ALLISON, Master Hudson Trevor",1911,1929,11m,Male,1st Class Passenger,113781,£151             16s,C22/26,Southampton,,SAVED,11,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/trevor-allison.html
"ALLISON, Miss Helen Loraine",1909,1912,2,Female,1st Class Passenger,113781,£151             16s,C22/26,Southampton,,LOST,,,Canadian,https://www.encyclopedia-titanica.org/titanic-victim/loraine-allison.html
"ALLISON, Mr Hudson Joshua Creighton",1881,1912,30,Male,1st Class Passenger,113781,£151             16s,C22/26,Southampton,Businessman,LOST,,135,Canadian,https://www.encyclopedia-titanica.org/titanic-victim/hudson-joshua-creighton.html
"ALLISON, Mrs Bess Waldo",1886,1912,25,Female,1st Class Passenger,113781,£151             16s,C22/26,Southampton,,LOST,,,Canadian,https://www.encyclopedia-titanica.org/titanic-victim/bessie-waldo-allison.html
"ALLSOP, Mr Alfred Samuel",1876,1912,36,Male,Engineering Crew,,,,Belfast,2nd Electrician,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-samuel-allsop.html
"ALLSOP, Mr Frank Richard",1868,1912,43,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-richard-allsop.html
"ALLUM, Mr Owen George",1894,1912,17,Male,3rd Class Passenger,2223,£8             6s,,Southampton,Gardener,LOST,,259,English,https://www.encyclopedia-titanica.org/titanic-victim/owen-george-allum.html
"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",1893,1980,19,Female,3rd Class Passenger,350046,£7             17s             1d,,Southampton,,SAVED,16,,Danish,https://www.encyclopedia-titanica.org/titanic-survivor/carla-jensen.html
"ANDERSEN, Mr Albert Kaurin",1878,1912,33,Male,3rd Class Passenger,4001,£22             10s             6d,,Southampton,Engineer,LOST,,260,Norwegian,https://www.encyclopedia-titanica.org/titanic-victim/albert-karvin-andersen.html
"ANDERSON, Mr Harry",1869,1951,42,Male,1st Class Passenger,19952,£26             11s,E12,Southampton,Stockbroker,SAVED,3,,American,https://www.encyclopedia-titanica.org/titanic-survivor/harry-anderson.html
"ANDERSON, Mr John",1870,,42,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/john-anderson.html
"ANDERSON, Mr Walter Yuill",1861,1912,50,Male,Victualling Crew,,,,Southampton,Bed Room Steward,LOST,,146,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/walter-anderson.html
"ANDERSSON, Master Sigvard Harald Elias",1907,1912,4,Male,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/sigvard-harald-elias-andersson.html
"ANDERSSON, Miss Ebba Iris Alfrida",1905,1912,6,Female,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ebba-iris-alfrida-andersson.html
"ANDERSSON, Miss Ellis Anna Maria",1910,1912,2,Female,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ellis-anna-maria-andersson.html
